DAPUR_1|39.68|86.42|706.94|2026-05-25 13:04:53|BAHAYA
DAPUR_1|28.13|188.23|802.03|2026-05-25 13:04:54|BAHAYA
DAPUR_1|25.97|135.06|216.60|2026-05-25 13:04:55|WASPADA
DAPUR_1|30.28|128.51|567.70|2026-05-25 13:04:56|WASPADA
DAPUR_1|30.20|102.19|719.74|2026-05-25 13:04:57|BAHAYA
DAPUR_1|42.46|97.27|713.44|2026-05-25 13:20:22|BAHAYA
DAPUR_1|26.61|136.54|414.14|2026-05-25 13:20:23|WASPADA
DAPUR_1|36.04|119.06|651.44|2026-05-25 13:20:24|WASPADA
DAPUR_1|45.57|88.95|742.77|2026-05-25 13:20:25|BAHAYA
DAPUR_1|40.13|23.60|610.17|2026-05-25 13:20:26|WASPADA
DAPUR_1|43.10|70.72|798.46|2026-05-25 13:23:54|BAHAYA
DAPUR_1|39.13|145.99|781.46|2026-05-25 13:23:55|BAHAYA
DAPUR_1|42.99|113.46|882.01|2026-05-25 13:23:56|BAHAYA
DAPUR_1|46.65|96.66|243.18|2026-05-25 13:23:57|BAHAYA
DAPUR_1|37.37|134.63|788.29|2026-05-25 13:23:58|BAHAYA
